task,mean_set_precision,mean_set_recall,mean_set_f1,micro_precision,micro_recall,micro_f1,n
Action Recognition,0.169375,0.156875,0.158125,0.41569767441860467,0.15228966986155484,0.22291504286827749,800
Instrument Recognition,0.046875,0.035625,0.03937499999999999,0.20430107526881722,0.032843560933448576,0.056589724497393905,800
Tissue and Organ Recognition,0.461875,0.7875,0.5702083333333334,0.45690747782002533,0.7533960292580982,0.5688362919132149,800
Triplet Recognition,0.19314583333333332,0.11592113095238094,0.13446843434343433,0.26892573900504685,0.11164322059263694,0.15778341793570222,800
