task,exact_match
Safety Assessment,0.82875
Phase Recognition,0.50625
Action Recognition,0.44375
Instrument Recognition,0.39625
Triplet Recognition,0.18625
Surgical Image Captioning,0.0
Tissue and Organ Recognition,0.0
