task,mean_set_precision,mean_set_recall,mean_set_f1,micro_precision,micro_recall,micro_f1,n
Action Recognition,0.4685,0.76,0.5286904761904762,0.32683790965456155,0.7859424920127795,0.4616828276509227,800
Instrument Recognition,0.4622500000000001,0.7225,0.4788988095238095,0.3522064945878435,0.7312013828867762,0.4754144422590616,800
Tissue and Organ Recognition,0.255625,0.84875,0.38583333333333336,0.255625,0.8547544409613375,0.39355304305989897,800
Triplet Recognition,0.49932133838383835,0.5350178571428571,0.4862500769247093,0.481421647819063,0.5351691110445974,0.5068745570517362,800
