task,mean_set_precision,mean_set_recall,mean_set_f1,micro_precision,micro_recall,micro_f1,n
Action Recognition,0.6162083333333334,0.89625,0.6849176587301586,0.45663811563169165,0.9084132055378061,0.6077662985393658,800
Instrument Recognition,0.6355000000000001,0.959375,0.6967380952380953,0.45171849427168576,0.9541918755401901,0.6131630102749236,800
Tissue and Organ Recognition,0.37326190476190474,0.975625,0.5232529761904762,0.35414301929625425,0.9780564263322884,0.52,800
Triplet Recognition,0.716234401015651,0.8320565476190477,0.7396684298888246,0.6774432379072063,0.8216102963184675,0.7425943460029758,800
